llm_term,llm_category,llm_frequency_rank,matched_original,status
spread,financial,266,spread,matched
disposable,real_activity,267,,novel
open market,financial,268,,novel
new homes,real_activity,269,,novel
quarter percent,financial,270,,novel
federal open market,financial,271,,novel
nondefense,real_activity,272,,novel
incentives,other,273,,novel
steel,prices,274,steel,matched
year percent,financial,275,,novel
commercial industrial,real_activity,276,,novel
open market committee,financial,277,,novel
governments,fiscal,278,,novel
michigan,prices,279,,novel
currencies,international,280,currencies,matched
deceleration,real_activity,281,,novel
refinancing,financial,282,financing,matched
united kingdom,international,283,united kingdom,matched
current account,international,284,current account,matched
exports imports,international,285,,novel
exchange value,international,286,,novel
claims,labor,287,,novel
fixed investment,real_activity,288,,novel
cpi,prices,289,cpi,matched
cars,real_activity,290,cars,matched
commercial real,real_activity,291,,novel
balances,financial,292,,novel
monetary policy,financial,293,,novel
orders shipments,real_activity,294,,novel
commercial real estate,real_activity,295,commercial real estate,matched
new home,real_activity,296,,novel
labor markets,labor,297,labor markets,matched
construction activity,real_activity,298,,novel
rate increase,financial,299,,novel
finished goods,prices,300,finished goods,matched
delinquency rates,financial,301,delinquency rates,matched
bonds,financial,302,bonds,matched
plant,real_activity,303,plants,matched
economies,other,304,,novel
manufacturing sector,real_activity,305,manufacturing sector,matched
exchange value dollar,international,306,,novel
reserve bank,financial,307,,novel
buildings,real_activity,308,buildings,matched
annual rate percent,prices,309,,novel
corn,prices,310,corn,matched
saving rate,real_activity,311,,novel
foreign exchange,international,312,foreign exchange,matched
wholesale,prices,313,,novel
retail trade,real_activity,314,retail trade,matched
gdp,real_activity,315,gdp,matched
vehicle sales,real_activity,316,vehicle sales,matched
automobile,real_activity,317,automobile,matched
slack,labor,318,,novel
local governments,fiscal,319,,novel
federal reserve bank,financial,320,,novel
economic conditions,other,321,economic conditions,matched
taxes,fiscal,322,taxes,matched
personal income,real_activity,323,,novel
oil imports,international,324,oil imports,matched
business loans,financial,325,,novel
wheat,prices,326,wheat,matched
germany,international,327,germany,matched
asset,financial,328,asset,matched
asia,international,329,asia,matched
term interest,financial,330,,novel
business sector,real_activity,331,,novel
nonfarm business,real_activity,332,,novel
semiconductors,real_activity,333,semiconductors,matched
food prices,prices,334,food prices,matched
consumer goods,real_activity,335,consumer goods,matched
forecasts,other,336,,novel
depreciation,real_activity,337,depreciation,matched
brazil,international,338,brazil,matched
money market,financial,339,money market,matched
prices increased,prices,340,,novel
yen,international,341,,novel
two quarters,real_activity,342,,novel
state local governments,fiscal,343,,novel
purchasing managers,real_activity,344,,novel
input,prices,345,,novel
corporations,other,346,corporations,matched
resource,other,347,,novel
import prices,prices,348,import prices,matched
term interest rates,financial,349,,novel
savings,real_activity,350,savings,matched
domestic nonfinancial,financial,351,,novel
net exports,international,352,net exports,matched
federal government,fiscal,353,,novel
commodity prices,prices,354,commodity prices,matched
labor market conditions,labor,355,,novel
commercial banks,financial,356,,novel
international developments,international,357,international developments,matched
mortgage interest,financial,358,mortgage interest,matched
agriculture,real_activity,359,agriculture,matched
fixed rate,financial,360,,novel
financial institutions,financial,361,financial institutions,matched
futures,financial,362,,novel
business fixed,real_activity,363,,novel
nonfarm payroll,labor,364,,novel
rigs,real_activity,365,rigs,matched
business fixed investment,real_activity,366,,novel
funding,financial,367,,novel
consumer price index,prices,368,,novel
personal consumption,real_activity,369,,novel
home prices,prices,370,home prices,matched
non oil,prices,371,,novel
account balance,international,372,,novel
output hour,labor,373,output per hour,matched
appliances,real_activity,374,,novel
fuel,prices,375,fuel,matched
retailers,real_activity,376,,novel
opec,international,377,,novel
pricing,prices,378,,novel
current account balance,international,379,,novel
growth slowed,real_activity,380,,novel
unemployment rate percent,labor,381,,novel
rates percent,financial,382,,novel
credit quality,financial,383,credit quality,matched
rental,prices,384,,novel
crops,prices,385,crop,matched
recession,real_activity,386,recession,matched
compensation hour,labor,387,compensation per hour,matched
home equity,financial,388,home equity,matched
credit card,financial,389,,novel
family housing,real_activity,390,,novel
nonfarm payroll employment,labor,391,,novel
home mortgages,financial,392,,novel
currency,financial,393,,novel
real gdp,real_activity,394,,novel
personal saving,real_activity,395,,novel
financial markets,financial,396,financial markets,matched
civilian unemployment,labor,397,,novel
personal saving rate,real_activity,398,,novel
livestock,prices,399,livestock,matched
commercial paper,financial,400,commercial paper,matched
greenbook,other,401,,novel
crop,prices,402,crop,matched
civilian unemployment rate,labor,403,,novel
gap,real_activity,404,,novel
benefit,fiscal,405,,novel
high tech,other,406,,novel
averages,financial,407,,novel
west texas,prices,408,,novel
stock market,financial,409,stock market,matched
growth real,real_activity,410,,novel
auto dealers,real_activity,411,,novel
mergers,financial,412,mergers,matched
nondurables,real_activity,413,,novel
funds rate,financial,414,,novel
stock prices,financial,415,stock prices,matched
nonfarm business sector,real_activity,416,,novel
cds,financial,417,,novel
disposable income,real_activity,418,,novel
accumulation,real_activity,419,,novel
contraction,real_activity,420,construction,matched
trade deficit,international,421,trade deficit,matched
single family housing,real_activity,422,,novel
surplus deficit,fiscal,423,,novel
soybeans,prices,424,soybeans,matched
quarter pace,real_activity,425,,novel
higher prices,prices,426,,novel
liabilities,financial,427,liabilities,matched
installment,financial,428,,novel
housing market,real_activity,429,,novel
manufacturing activity,real_activity,430,manufacturing activity,matched
lumber,prices,431,lumber,matched
federal funds rate,financial,432,,novel
unit labor,labor,433,,novel
consumer price inflation,prices,434,,novel
inventory investment,real_activity,435,,novel
applications,financial,436,,novel
employed,labor,437,,novel
capital expenditures,real_activity,438,capital expenditures,matched
growth rates,real_activity,439,,novel
plants,real_activity,440,plants,matched
loss,financial,441,,novel
time deposits,financial,442,,novel
commerce,real_activity,443,commerce,matched
home mortgage,financial,444,,novel
loan demand,financial,445,loan demand,matched
china,international,446,china,matched
workweek,labor,447,,novel
nonresidential structures,real_activity,448,,novel
delinquencies,financial,449,delinquencies,matched
business conditions,real_activity,450,business conditions,matched
loans commercial,financial,451,,novel
wages prices,prices,452,,novel
industrial countries,international,453,major industrial countries,matched
unemployment insurance,labor,454,unemployment insurance,matched
gdp growth,real_activity,455,,novel
rents,prices,456,rents,matched
salaries,labor,457,salaries,matched
growth consumer,real_activity,458,,novel
crude oil prices,prices,459,,novel
acquisitions,financial,460,,novel
chemicals,prices,461,chemicals,matched
bank lending,financial,462,,novel
financial market,financial,463,financial markets,matched
texas intermediate,prices,464,,novel
annual rates,prices,465,,novel
new home sales,real_activity,466,,novel
financial conditions,financial,467,financial conditions,matched
demand deposits,financial,468,,novel
west texas intermediate,prices,469,,novel
gasoline prices,prices,470,gasoline prices,matched
real disposable,real_activity,471,,novel
bank credit,financial,472,,novel
hourly compensation,labor,473,hourly compensation,matched
utilities,prices,474,utilities,matched
layoffs,labor,475,,novel
sales percent,real_activity,476,,novel
technology,other,477,technology,matched
budget deficit,fiscal,478,budget deficit,matched
liquidity,financial,479,liquidity,matched
trade balance,international,480,trade balance,matched
inflationary,prices,481,inflation,matched
consumption expenditures,real_activity,482,,novel
realtors,real_activity,483,,novel
volumes,real_activity,484,,novel
shares,financial,485,,novel
nonfinancial developments,other,486,financial developments,matched
oil gas,prices,487,,novel
housing markets,real_activity,488,,novel
percent gdp,fiscal,489,,novel
argentina,international,490,argentina,matched
retail prices,prices,491,retail prices,matched
foreign industrial,international,492,,novel
loan growth,financial,493,,novel
nipa,real_activity,494,,novel
employment growth,labor,495,,novel
optimism,other,496,,novel
new car,real_activity,497,,novel
buyers,real_activity,498,,novel
nondefense capital,real_activity,499,nondefense capital,matched
light trucks,real_activity,500,,novel
nondefense capital goods,real_activity,501,nondefense capital goods,matched
liquid,financial,502,,novel
shortages,prices,503,,novel
latin america,international,504,latin america,matched
drilling rigs,real_activity,505,,novel
volatility,financial,506,volatility,matched
mortgage loans,financial,507,,novel
wage increases,prices,508,,novel
bond yields,financial,509,,novel
industrial loans,financial,510,,novel
non oil imports,international,511,oil imports,matched
general merchandise,real_activity,512,,novel
state local government,fiscal,513,,novel
pce,prices,514,,novel
treasury securities,financial,515,treasury securities,matched
gross domestic,real_activity,516,,novel
disposable personal,real_activity,517,,novel
commercial industrial loans,financial,518,,novel
personal consumption expenditures,real_activity,519,,novel
gas prices,prices,520,gas prices,matched
business spending,real_activity,521,business spending,matched
software,real_activity,522,software,matched
manufacturing production,real_activity,523,,novel
short term interest,financial,524,,novel
investments,real_activity,525,investments,matched
units annual,real_activity,526,,novel
homebuilders,real_activity,527,,novel
france,international,528,france,matched
nondurable,real_activity,529,,novel
merger,financial,530,mergers,matched
quarter growth,real_activity,531,,novel
existing home,real_activity,532,,novel
cotton,prices,533,cotton,matched
term rates,financial,534,,novel
lending standards,financial,535,lending standards,matched
discretionary,real_activity,536,,novel
residential mortgage,financial,537,,novel
real gdp growth,real_activity,538,,novel
italy,international,539,italy,matched
exchange rate,international,540,exchange rate,matched
par,financial,541,,novel
account deficit,international,542,,novel
imported oil,prices,543,imported oil,matched
current account deficit,international,544,,novel
loan rates,financial,545,loan rates,matched
foreign industrial countries,international,546,foreign industrial countries,matched
consumer installment,financial,547,,novel
rate growth,prices,548,,novel
downturn,real_activity,549,,novel
hourly earnings,labor,550,hourly earnings,matched
maturity,financial,551,,novel
stimulus,fiscal,552,,novel
package,fiscal,553,,novel
mortgage backed,financial,554,,novel
change annual rate,prices,555,,novel
mutual funds,financial,556,,novel
adjusted annual rate,real_activity,557,,novel
average rate,financial,558,,novel
automakers,real_activity,559,,novel
cutbacks,real_activity,560,,novel
slower growth,real_activity,561,,novel
exports goods,international,562,,novel
labor force participation,labor,563,labor force participation,matched
health care,prices,564,health care,matched
prices expected,prices,565,,novel
properties,real_activity,566,,novel
premiums,prices,567,,novel
backlogs,real_activity,568,,novel
nonagricultural,labor,569,,novel
reserves,financial,570,reserves,matched
portfolio,financial,571,,novel
consumer loan,financial,572,,novel
gnp,real_activity,573,gnp,matched
input prices,prices,574,input prices,matched
family homes,real_activity,575,,novel
prices declined,prices,576,,novel
business investment,real_activity,577,,novel
automobiles,real_activity,578,automobile,matched
depository,financial,579,,novel
bills,financial,580,,novel
inflation rate,prices,581,,novel
prime rate,financial,582,,novel
unit labor costs,labor,583,unit labor costs,matched
prices fell,prices,584,,novel
corporate bonds,financial,585,,novel
inflation expectations,prices,586,inflation expectations,matched
capital equipment,real_activity,587,,novel
central bank,financial,588,,novel
final sales,real_activity,589,final sales,matched
bond issuance,financial,590,bond issuance,matched
single family homes,real_activity,591,,novel
land,real_activity,592,,novel
deficits,fiscal,593,,novel
refunding,fiscal,594,,novel
rate mortgages,financial,595,,novel
